3					
Hypersensitivity to touch was also reported on two separate occasions for a single high dose male.					
0	25	Hypersensitivity to touch	MP:001968		
					
14					
- prematurely deceased female rats (pre-mortal symptoms): pilo-erection and/or reduced motility were noted in all or several females.					
2	22	prematurely deceased	MP:0002083		
58	71	pilo-erection	MP:0001492		
79	95	reduced motility	MP:0003491		
					
20					
The body weight gain and the body weight at autopsy were similarly only slightly reduced compared to the control group.					
4	20	body weight gain	MP:0001260		
					
21					
Overall, the reduced body weights at the 1000 mg/kg bw/day dose are considered as test item-related.					
13	33	reduced body weights	MP:0001262		
					
24					
The platetes were statistically significant decreased (32%) in the males.					
4	53	platetes were statistically significant decreased	MP:0008935		
					
27					
The slightly reduced body weight of the treated male animals had recovered to a level comparable to the control group at the end of the recovery period.					
13	32	reduced body weight	MP:0001262		
					
29					
The slightly increased values of red blood cell-related parameters (haemoglobin content, number of erythrocytes, haematocrit value) and the slightly decreased number of platelets in the previously dosed male and female animals had returned to values comparable to the control group at the end of the recovery period   Overall, no further test-item related changes were observed.					
68	87	haemoglobin content	MP:0005564		
89	111	number of erythrocytes	MP:0011178		
113	124	haematocrit	MP:0002608		
149	178	decreased number of platelets	MP:0008935		
					
31					
- 1000 mg/kg bw/day: two female animals revealed an exophthalmus from test day 79 onwards.					
52	64	exophthalmus	MP:0002750		
					
36					
The consistency of all animals' faeces was normal throughout the treatment period. - no deaths were noted at any dose level.  - all main study animals survived until their scheduled terminal sacrifice.					
88	94	deaths	MP:0002083		
					
41					
Lastly, another female 1000 mg/kg bw/day dose animal revealed areas with thin fur (size approximately 10 mm Ã— 30 mm) on both forelimbs in test weeks 10 to 13.					
74	81	thin fur	MP:0000416		
					
44					
Furthermore, the exophthalmus of the female recovery animal previously treated, that is considered not test item-related, was still present until the end of the recovery period.					
17	29	exophthalmus	MP:0002750		
					
47					
The consistency of all animals' faeces was normal throughout the recovery period. - no deaths were noted during the recovery period.					
87	93	deaths	MP:0002083		
					
50					
BODY WEIGHT AND WEIGHT GAIN 1) Treatment period - 100 or 300 mg/kg bw/day: no test item-related changes were noted for the male and female animals.					
16	27	WEIGHT GAIN	MP:0001260		
					
52					
